Organisationsnamn;Kommun;E-post;Hemsida
Action Idrottsförening;Järfälla;actionjarfalla@gmail.com;actionjarfalla.com
Cheer Community Devotion Club;Skövde;kontakt@cheercommunitydevotion.se;www.cheercommunitydevotion.se
Cheerföreningen GC Troops;Mölndal;info@gctroops.com;www.gctroops.com
Crocodiles AFC Helsingborg;Helsingborg;crocodiles.ordforande@gmail.com;
Dans o Gymnastikföreningen Boråsflugan;Borås;info@flugan.nu;http://www.rcd.nu
Frisksportklubben Björken;Katrineholm;bjorken@frisksport.se;
För.Luleå Arctic Cheerleading Avalanches;Luleå;info@acalulea.com;www.acalulea.com
Föreningen Annas Cheer och Dance;Norrköping;anna@norrkopingsdanscenter.se;
Föreningen Cheer Force Allstars Umeå;Umeå;info@cfa.se;www.cfa.se
Föreningen Cheer Future;Boden;info@cheerfuture.se;www.cheerfuture.se
Föreningen Cheer Infinity Athletics;Malmö;info.cheerinfinity@gmail.com;www.cheerinfinityathletic.com
Föreningen Cheer Supreme Allstars;Borås;info.cheersupreme@gmail.com;
Föreningen CheerXplosion;Karlstad;info@cheerxlosion.se;www.cheerxplosion.se
Föreningen Dynamite Cheerleading;Sundbyberg;kassor@dynamitecheerleading.com;www.dynamitecheerleading.com
Föreningen Eastcoast Cheerleaders;Österåker;styrelsen@eastcoastcheerleaders.se;www.eastcoastcheerleaders.se
Föreningen Fancy Cheer Sundsvall;Sundsvall;kontakt@fancycheersundsvall.com;www.fancycheersundsvall.com
Föreningen Kalix Cheerleading Team;Kalix;KCTcheerleading@gmail.com;
Föreningen Linköping Cheerleading Lightnings;Linköping;styrelsen@linkopinglightnings.se;www.linkopinglightnings.se
Föreningen Power Cheer Allstars;Haninge;ordforande@powercheer.se;http://www.powercheer.se
Föreningen Skellefteå Cheerleading Athletics ;Skellefteå;styrelseskellefteacheer@gmail.com;
Föreningen Ultimate Cheer Xtreme;Täby;cajsa@ultimatecheerxtreme.se;
Föreningen United Movement;Sollentuna;kansli@unitedmovement.se;www.unitedmovement.se
GF Uppsalaflickorna;Uppsala;info@gfuppsalaflickorna.se;www.gfuppsalaflickorna.se
Gothenburg Cheer One Cheerleading Club;Göteborg;info@gco.nu;www.gco.nu
Gymnastikföreningen Örebro;Örebro;info@gforebro.se;https://www.gforebro.se
Halmstad Gymnastikförening;Halmstad;halmstadgf@hotmail.com;www.halmstadgf.se
Haninge Cheer Elite Club;Haninge;kassor@cheerelite.nu;http://www.cheerelite.nu
Hedemora Cheerleaders Idrottsförening;Hedemora;hej.HCIF@gmail.com;http://www.hcif.se/
Ideella föreningen Fredagsfys Sverige;Haninge;emelie@sockersmart.se;
Idrottsföreningen Jönköping Spartans Cheer;Jönköping;info@spartanscheer.se;www.spartanscheer.se
Idrottsföreningen Rune;Kungsör;ifrunekungsor@gmail.com;
Julle United Dansförening Hudiksvall;Hudiksvall;info@julleunited.se;http://julleunited.se
Karlskrona Gymnastik Förening;Karlskrona;info@karlskronagf.se;www.karlskronagf.se
Kolsva Idrottsförening;Köping;Kolsvaif@hotmail.com;www.kolsvaif.com
Kristianstad Starlight Cheerleading förening;Kristianstad;hanna.m.meijer@gmail.com;www.kristianstadstarlightcheer.se
Köpings Gymnastikförening;Köping;kopingsgymnastikforening@gmail.com;www.idrottonline.se/koping/kopingsgf-gymnastik
Legacy Allstars - Nyköpings Cheerleading- och Gymnastikförening;Nyköping;cheerlegacy@hotmail.com;http://cheerlegacy.wixsite.com/cheerleading
Luleå Cheer & Dance Team Club;Luleå;lulea.cheerleading@gmail.com;http://www.lcdteam.se
Lund Cheerleadingförening Pro Athletics;Lund;proathleticssweden@gmail.com;https://proathleticscheer.se
Lunds Akademiska Cheerleadingförening;Lund;lundcheerleading@gmail.com;
Malmö All Star Cheer Förening;Malmö;info@malmoallstar.se;www.malmoallstar.se
Musketeers Funky Cheer Club;Borås;kontaktmfc@gmail.com;www.musketeersfunkycheer.com
Norrköpings Gymnastikförening;Norrköping;ordforande@ngf.se;www.ngf.se
Outlaw Cheerförening;Stockholm;sanna.28.andersson@gmail.com;
Piteå Unity Cheer Club;Piteå;cheerunitypitea@gmail.com;
Sigtuna Legends Cheerleadingförening;Sigtuna;info@sigtunalegends.se;http://www4.idrottonline.se/idrottonlineklubb/sigtuna/sigtunalegendscheerleadingforening-gymnastik
SOL Gymnastikförening;Stockholm;kansliet@solgf.se;https://www.solgf.se
Trelleborgs Gymnastic & Dance Club;Trelleborg;pia@tgd.nu;www.tgd.nu
Twisters Cheer Elite Nacka Cheerleadingförening;Nacka;info@twisters.se;www.twisters.se
Tyresögymnastiken;Tyresö;kansli@tyresogymnastiken.se;http://www.tyresogymnastiken.se
Uddevalla Gymnastik och Parkour Förening;Uddevalla;kansliet@uddevallagp.se;http://www.uddevallagp.se
Wild Kingdom Cheerleadingclub Oskarshamn ;Oskarshamn;Johannawkc@gmail.com;
Vänersborgs Gymnastikförening;Vänersborg;vanersborgsgf@gmail.com;http://www.vanersborgsgf.se
Värnamo Frisksportklubb;Värnamo;olle.sahlberg@gmail.com;
Västerås Cheerleadingförening;Västerås;medlemsansvarig@risingcheerathletics.se;http://risingcheerathletics.se/
Örnsköldsviks Gymnastikklubb;Örnsköldsvik;pettersson.liselotte@telia.com;www.ovikgymnastik.se
Östersundsgymnasterna;Östersund;sportchef@ostersundsgymnasterna.se;www.ostersundsgymnasterna.se
